OBJECTID,COMPKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,BIKE_FACILITY,RACK_CAPACITY,DELINEATOR_POSTS,FINISH_TYPE,SURFACE_TYPE,INSTALL_DATE,MOUNT_TYPE,COLOR,MANUFACTURER,MODEL_TYPE,CONDITION,CONDITION_ASSESSMENT_DATE,SIDE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,Shape,SHAPE_LNG,SHAPE_LAT
1379,606502,16,1859,34,17,BKR-3341,BKR,14TH AVE E 0040 BLOCK W SIDE (  21) 21 FT N/O E HARRISON ST                                                                                                                                                                                                    ,SGL,2,N,GALV,PCC,10/25/2013 12:00:00 AM +0000,SUFMT, , ,BKR-RLRCK,GOOD,06/01/2015 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT3, ,N,,"(47.62204807400008, -122.31473985799994)",-122.314739859162998,47.6220480741679
1380,516934,16,2753,241.5,-34,BKR-1897,BKR,2ND AVE 0100 BLOCK NE SIDE ( 220) 40 FT SE/O SPRING ST                                                                                                                                                                                                         ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,10/01/2009 12:00:00 AM +0000,NE,SDOT,INSVC,DISTRICT7, ,N,,"(47.60576946900005, -122.33552530699995)",-122.335525308772006,47.605769469066296
1381,620016,16,2753,81.5,-34,BKR-3464,BKR,2ND AVE 0100 BLOCK NE SIDE (  60) 60 FT NW/O MADISON ST                                                                                                                                                                                                        ,SGL,2,N,GALV,PCC,10/15/2014 12:00:00 AM +0000,SUFMT, , ,BKR-INVRU,GOOD,09/01/2016 12:00:00 AM +0000,NE,SDOT,INSVC,DISTRICT7, ,N,,"(47.60539771900005, -122.33518526799998)",-122.335185269536012,47.605397718562003
1382,519156,16,14381,114,-25,BKR-2787,BKR,E MADISON ST 0425 BLOCK SE SIDE (  84) 84 FT NE/O E HOWE ST                                                                                                                                                                                                    ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,08/19/2009 12:00:00 AM +0000,SE,SDOT,INSVC,DISTRICT3, ,N,,"(47.63593458300005, -122.27764557799998)",-122.277645578915013,47.635934583185801
1383,516931,16,2752,227,-34,BKR-1515,BKR,2ND AVE 0090 BLOCK NE SIDE ( 207) 53 FT SE/O MADISON ST                                                                                                                                                                                                        ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,,NE,SDOT,INSVC,DISTRICT7, ,N,,"(47.60502259800006, -122.33484214899994)",-122.334842150778996,47.605022597646006
1384,518026,16,14595,57,-29,BKR-1145,BKR,E PIKE ST 0041 BLOCK S SIDE (  48) 48 FT E/O CRAWFORD PL                                                                                                                                                                                                       ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,07/20/2009 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.614006662000065, -122.32595689599998)",-122.325956897165,47.614006662178397
1385,519110,16,9236,166,17,BKR-202,BKR,BELMONT AVE E 0010 BLOCK W SIDE ( 153) 153 FT N/O E DENNY WAY                                                                                                                                                                                                  ,SGL,2,N,GALV,PCC,10/21/2004 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,08/28/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT3, ,N,,"(47.618937739000046, -122.32407621899995)",-122.324076219967012,47.618937738813493
1386,518950,16,10744,233,31,BKR-2497,BKR,GREENWOOD AVE N 0770 BLOCK W SIDE ( 220) 23 FT S/O N 78TH ST                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,08/03/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT6, ,N,,"(47.68538442400006, -122.35542448599995)",-122.355424487736997,47.685384423635902
1387,553220,16,14381,255,-25,BKR-2939,BKR,E MADISON ST 0425 BLOCK SE SIDE ( 225) 37 FT SW/O 43RD AVE E                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,05/26/2010 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,05/26/2010 12:00:00 AM +0000,SE,SDOT,INSVC,DISTRICT3, ,N,,"(47.636206978000075, -122.27724282499997)",-122.277242826717014,47.636206978128499
1388,518935,16,10739,35,-31,BKR-2425,BKR,GREENWOOD AVE N 0720 BLOCK E SIDE (  22) 22 FT N/O N 72ND N ST                                                                                                                                                                                                 ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,07/31/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT6, ,N,,"(47.68114914000006, -122.355180572)",-122.355180572871006,47.681149139850795
1389,553221,16,14381,245,-25,BKR-2940,BKR,E MADISON ST 0425 BLOCK SE SIDE ( 215) 47 FT SW/O 43RD AVE E                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,05/26/2010 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,05/26/2010 12:00:00 AM +0000,SE,SDOT,INSVC,DISTRICT3, ,N,,"(47.63618765900003, -122.27727138999995)",-122.277271390937003,47.636187659305598
1390,518936,16,10739,230,-31,BKR-709,BKR,GREENWOOD AVE N 0720 BLOCK E SIDE ( 217) 31 FT S/O N 73RD ST                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,03/17/2008 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/31/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT6, ,N,,"(47.68168195700008, -122.35517829899999)",-122.355178300734011,47.681681957304001
1391,516902,16,4332,440,-17,BKR-2385,BKR,29TH AVE S 0670 BLOCK W SIDE ( 427) 31 FT N/O S BRIGHTON ST                                                                                                                                                                                                    ,SGL,7,N,PAINT,PCC,,STBS,BLK,OTHER,BKR-RIBON,GOOD,08/06/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT2, ,N,,"(47.54144664200004, -122.29589861199997)",-122.295898613545006,47.5414466418774
1392,638908,16,14381,222,29,BKR-3611,BKR,E MADISON ST 0425 BLOCK NW SIDE ( 192) 70 FT SW/O 43RD AVE E                                                                                                                                                                                                   ,CLSTR,4,N,GALV,PCC,08/03/2015 12:00:00 AM +0000,SUFMT, , ,BKR-INVRU,GOOD,08/03/2015 12:00:00 AM +0000,NW,SDOT,INSVC,DISTRICT3, ,N,,"(47.63624787300006, -122.27749201299997)",-122.277492013903,47.636247873002006
